Region/Country,Jan_20,Feb_20,Mar_20,Apr_20,May_20,Jun_20,Jul_20,Aug_20,Sep_20,Oct_20,Nov_20,Dec_20,Jan_21,Feb_21,Mar_21,Apr_21,May_21,Jun_21,Jul_21,Aug_21,Sep_21,Oct_21,Nov_21,Dec_21,Jan_22,Feb_22,Mar_22,Apr_22,May_22,Jun_22,Jul_22,Aug_22,Sep_22,Oct_22,Nov_22,Dec_22,Jan_23,Feb_23,Mar_23,Apr_23,May_23,Jun_23,Jul_23,Aug_23,Sep_23,Oct_23,Nov_23,Dec_23,Jan_24,Feb_24,Mar_24,Apr_24,May_24,Jun_24,Jul_24,Aug_24,Sep_24,Oct_24,Nov_24,Dec_24,Jan_25,Feb_25,Mar_25,Apr_25,May_25,Jun_25,Jul_25,Aug_25,Sep_25
     U.S.A,116995.23999999998,105295.76000000004,118274.29853,118681.15999999999,139986.39,142623.41,135880.90000000002,155515.7,155714.00939999998,156361.80740000002,151895.99000000002,168767.77000000002,169810.7125629263,153468.522208629,162637.25,171280.59178243272,182618.494390741,179973.44952400666,196411.67997875964,179151.2409146004,191535.40000000002,222508.04,211524.87,221536.466488803,209137.41290817643,186503.353884123,213806.0357100393,210810.695145804,195145.853168436,183360.96,184865.4143017899,181585.56215885436,186426.42209487,191552.00611303,192760.20557517375,198478.15646169268,204314.3,182382.25150074702,205438.44556080198,182819.622157686,189292.124040256,189017.541333133,208381.716348104,192364.348510176,183771.236644434,190848.86950086098,196754.48959606802,215008.150806119,221007.4298909979,207165.64833458897,216327.542900702,195971.56180500102,214592.137243606,196119.84,216602.950927845,237719.281174075,231710.097296861,234680.466143495,225999.395803417,231292.303216865,227502.646638704,202244.54422634182,222725.939387171,235891.38336869358,231864.25114063628,227347.11537448197,227603.99757789104,242622.24706471054,229835.198775081
     Canada,3393.74,2893.7000000000003,2663.70411,3287.35,4242.1500000000015,4049.55,4823.25,3700.75,8444.339999999997,3633.403,4349.542,5574.94,5463.346209568035,6306.386949223428,8340.829263951637,9993.1761617894,10352.446688579766,8912.07251212302,9755.298138682512,10125.246641913904,6130.58482454885,3322.82,3384.0,5308.246949858119,5936.938393523087,5405.110158174032,7911.428843176388,7738.115629517252,7061.708170034841,8658.822106987505,7020.30275925765,4596.799442237049,5884.7725102653585,5303.712187778753,7013.51437872583,6676.248461252336,6593.443688474699,5771.071956197377,5511.143256613555,3997.3375989592364,4629.9450321264885,5648.868854348375,8460.200719492568,9040.39537708662,10334.47335300321,11104.201397810695,5641.155158371855,6379.1448660011965,6108.91129714777,7137.0829994535225,9244.112033014411,17452.876992587368,10381.467946714221,10355.102039113217,10119.84087385687,11302.31296207912,10893.769083930365,12113.340205647099,13023.192993034681,12380.1724002595,12935.61210069521,11634.557040123495,13658.727087325053,14181.096988832014,17737.416853583574,15268.837735427409,11919.359437719912,13604.038222654355,13489.83768990037
     Bahamas,539.73,421.88,424.68,0.0,36.89,56.2,75.96000000000001,4.22,8.719999999999999,82.28,10.91,8.09,23.577694212487103,19.041986946642172,308.7460565321898,47.26724628158417,14.614152510254465,11.431888194903546,37.88716281166464,40.4413508524482,35.196226353577785,36.947940874818066,3.948704783494437,138.29608593509107,41.80111190868075,10.684874191644859,117.09205218701558,18.59467438968292,42.904848454289336,40.32376444442962,40.301918647685184,38.121132140309236,40.421851926738874,140.19688139187852,48.83235721141868,39.98704700933441,47.374643288848425,15.36065620803336,51.828247746417574,46.599522624447644,90.06955518634481,45.26484067636614,16.82230303839461,81.85111358583156,58.78028733459666,52.194462914345394,63.73491850748269,56.54034407645305,53.16603186219739,218.2660812022084,35.88295622552226,86.15961063857861,33.24946232671019,259.602103277092,87.98286754826873,83.41486441722134,55.76530539104517,57.64867214395781,311.34501979695705,167.57761933853493,218.69417197963145,37.07501560985407,66.2712168552971,182.1656167819054,86.4543136041478,147.9738947597,38.3453964850846,148.88863595624,156.067362231065
     United Kingdom,21190.0,17567.829999999998,18778.69654,16191.040000000003,18911.83,19120.089999999997,22901.199999999997,20640.050000000003,16412.68,20006.019999999997,18432.420000000002,20077.7,18883.094145331266,23262.0033043612,32653.0081227738,33127.650661481,34587.3610320255,31100.5070042827,36362.33051025857,28533.5257735187,25759.865612070942,18591.41,14596.72,21444.9466640737,25398.012233095636,25885.7295553874,26890.70090175427,27267.790940787403,26344.08970962521,26801.13,26014.5928720879,27425.3595420953,25579.093448528198,30570.95,33332.35639684899,31609.50561084653,22718.2828295595,25187.57655397064,30928.154124237382,24026.098462555856,32303.190418155566,34159.136259900086,35566.08438263892,23712.06651675883,27097.430046474954,23242.509686778394,28165.6490213325,27083.928693036993,49023.28545424865,31274.5943673215,32099.3064399834,18902.30907739199,27586.99087654599,24557.875409886132,30209.461107331823,27047.849974586603,29875.4531136963,28537.9064637289,29281.072793560732,29223.757178576885,25318.709147861267,25734.62053593198,27357.190859996397,26608.281523992857,30078.32486090248,32296.98253055907,29185.849433718817,31039.384980696024,34917.537273570524
     Germany,6963.54,6156.280000000001,6774.23513,6246.750000000001,6960.64,7308.3,7579.670000000001,7210.99,6607.18,7175.26,8540.898000000001,12083.13,10272.891006704398,7360.835933134287,8093.27060663428,9583.276151254984,10605.952143774797,9195.428895922993,10655.979793209655,10412.662769426968,8414.38,10788.24,9867.01,10966.797164258882,10789.246411488784,9114.898635652176,11269.94881604845,10170.534415183629,11410.555512319534,10130.734584506801,10289.51310548157,9754.845993568524,8855.873029498749,9977.432030918964,13317.842012851568,14466.365542558671,14432.56752940852,10868.061841858313,13623.643131969968,10027.230306249743,12113.455094538733,12095.030475955642,13468.5620050192,18276.33575706945,20604.4468958557,22684.20782058065,13525.248640235619,14095.526543822538,14925.920671142087,13537.44214630137,14976.232895814333,31898.206998662183,13938.456529489007,13830.030327945115,15955.460130905267,15779.50615547467,15072.80181624738,15967.945050773056,15534.63967615749,15835.925065031684,15705.55973737696,14812.644305689279,16006.266780202563,16373.069493662493,16409.642221345144,16459.725650080898,14740.007646828646,14943.729723848266,16256.560043193218
     Switzerland,4291.64,2715.8599999999997,4404.404,2218.3199999999997,4305.009999999999,3984.5799999999995,3668.62,3943.0899999999997,3250.0799999999995,6072.9800000000005,4948.700000000001,5424.259999999998,4846.380052490572,4225.819153892453,3822.55879932268,3869.7318890836896,3618.059652902906,4838.472869261509,5314.392795888528,3279.2732657291367,3646.9257976252243,4186.342303709539,4351.209625610074,3917.772953469775,3838.348549813466,4315.19193762528,4378.181670457797,3787.3073620387026,4411.3935673735,4245.12039555067,3450.66850057263,3942.9542347972683,5233.741417708335,4557.473626640078,4780.154756075712,3759.2126314724264,4012.2346448254525,4111.834762826547,5464.4425174389,3764.889855358877,4345.915631417248,5826.654713267241,4116.792451093602,3098.0556635869334,3769.25174280843,2921.8758765695457,2957.815142442756,3988.349647709586,3156.750101839718,2964.91085147884,4374.471570366724,5828.5694951073765,5753.313116483968,3490.9067879485638,4351.451625100427,4860.3699793885135,3965.5150534695176,3795.7607613269292,3848.859154258403,4928.702086755387,5137.6414788732,7352.265516065405,4421.825742696734,4520.912758909614,5102.487534604203,5120.98545724908,3389.882649317509,6305.375443919533,4074.9021983028706
     Netherlands,1828.68,1745.8599999999997,1578.38275,2299.93,1386.8100000000002,1321.95,2101.6200000000003,1481.81,1705.94,2719.0899999999997,1824.4700000000003,2281.0299999999997,1805.8703819160414,1872.5378167679237,1940.0551118563098,1772.958920351847,2364.1660517190267,1888.5173478346576,2022.9408976395343,1854.682125398898,1846.71,1172.84,1196.66,1960.2913827173895,2242.0200550665127,1992.1185226841628,2154.0961710278975,2267.137827343126,2286.5256235144057,2099.407165380888,2086.3249484927096,1311.9656535990591,2550.903322410952,1628.2323205018283,2007.4396283250096,1894.1877200402866,2275.944134435851,1721.5276235792953,1755.1455924696986,1254.3006406089085,1476.9249805568438,1998.579602575502,1971.8423860714774,1473.041759944462,1752.4083384098315,1778.5650475774064,1686.1807209127323,2182.310076853246,2141.5917273164478,4614.907124048174,2101.5226817660687,1651.6156015930042,2254.0627864617873,2116.0768360179445,2701.36475331129,2460.6866864149706,2604.6499389175674,2858.4452160109972,2545.2864895711673,3102.999686047838,3099.186176532143,2514.115978451875,3789.1761336378086,3987.4791746117266,3122.992646672304,3617.1990281943768,3131.8726325279504,3162.0853805551706,3578.057548089155
     Italy,2138.2599999999998,1700.1599999999999,1732.41607,1727.25,2144.39,2690.8099999999995,2184.98,3196.780000000001,2279.2000000000003,3123.4600000000005,5022.88,5684.68,3501.590583894453,1755.4167885748698,2289.384,2418.422760709362,2173.215294625604,2256.3937628924264,2243.3569048315017,1786.1594453379748,1906.1224995340351,2893.321601590434,1535.4720928556012,2131.428345767004,2637.140857657631,2016.2285027316336,2029.6226872742568,1835.869408694804,2097.368289012219,1909.2542923340256,1597.1440871054767,1553.7904228134864,1714.3019940285014,1866.2429065065319,1744.3752346839337,2175.825331292678,2260.82445634732,2353.618382487012,2169.4403789046137,1864.403407296929,1719.2778674514425,1702.3928628961612,1886.1670156551127,2924.9425697034644,2027.4082522096803,1643.635925682922,2861.2187812708557,2062.982952378089,2544.5325853168365,2645.8055600649604,2961.921924458834,2006.7296931151498,2599.6917391458574,2647.3409968898504,2928.364772475181,2884.8209540602525,2920.3206759753725,3165.6143908841605,3166.3562018630028,3276.2959900871892,4222.8052993030005,2994.40682949154,4253.112245297306,3569.76109489786,4432.2063488013655,3531.513036523036,3999.511220244376,3924.3286873762727,3158.2444506239462
     Sweden,1880.54,1626.4900000000002,1680.62,1318.53,1371.77,1206.8999999999999,886.06,1208.6200000000001,1431.7,1584.59,1789.08,2022.6599999999999,2440.311674904845,1700.4746607160891,2084.18235936247,1949.10952160072,1964.533910270951,1839.539388060992,1986.0297627055593,2400.210451808408,2001.88,1359.43,846.6,1853.5984402452004,1970.7917754984712,1991.3926900623244,2200.0645656017005,3342.935983385324,1986.1398914300967,2616.1952030173798,2311.712235486452,1589.7418373885118,2300.1706310914838,1886.2674577334167,1551.3516939754809,1874.3526177001916,1886.2794026363474,1329.2843318000532,1350.0432233994945,1590.7597703992599,1033.1157506576644,1481.5340255754375,1974.5718231774833,2053.2837619246175,1972.0618231528892,1929.434560347552,2017.6679662532856,2257.920813153971,2438.989271936651,2083.827171786538,1905.961841665467,2259.2789761687654,1635.1317503448558,1583.4986795681866,1912.0921735644329,1149.5032402596694,843.6261701707477,729.4005782993162,815.4351051741214,790.4545422106843,887.8326110467153,879.0865616427593,873.1776587591836,865.6156466281321,1433.1004857698385,1215.8623939299127,736.8355279411443,506.1149844260616,674.4793831385931
     France,2130.32,1516.3499999999997,1361.3184700000004,1431.7500000000002,1458.1799999999998,1468.7099999999998,1442.1599999999999,1739.46,2117.9900000000002,2743.7999999999997,2228.5,2357.8599999999997,1528.6398264068323,1643.130640376618,1504.63140843406,1900.4165732780336,1824.6381489057767,1921.842212254029,2724.183401241128,1576.2655901925705,1674.99,1399.78,1835.98,1839.8565315643004,1906.1581720172371,1620.7847327709733,2246.5505135271683,1710.4521105832753,1650.477104676075,1747.61,1180.1014123144753,1314.30394744612,1427.2513838085374,1607.8445081679147,1506.413273901741,2007.245174108624,1788.506270549313,1752.7945653311408,1645.8194195130993,1625.4978915942654,1484.6792094665805,1200.5526231185363,1742.8829354651498,1437.0420214810201,1194.0867618727418,1318.4444428116767,1428.5940562001965,1647.4552348313186,1572.3288149856153,1604.9578422425939,1899.9841439158026,1425.8154767524995,3085.4597396397294,2209.0067774340678,2233.4359247891907,1929.8956460376157,2033.6192578687026,2872.076480121115,2273.4741055834656,2198.6474456281935,2070.1090901697357,1790.3388162842618,2127.6893285247697,2267.5950257676677,2717.141042156133,2344.430211366299,2456.480025125553,2267.8977539724515,3038.364862666738
     Norway,1288.5400000000002,1046.91,944.68,2441.0399999999995,1132.34,1147.85,1263.67,1367.71,1389.25,1296.85,1434.18,1833.4,1583.8611050703837,1464.6421210760918,1582.1160364551524,1738.518058772245,1713.7611900196414,1956.3956364124358,2026.8395900943865,1803.543075353191,1353.81,840.22,924.84,1621.2208932547435,1687.4192223453074,1787.0062533638159,1897.6367761339736,1870.586930951758,1798.4941574488546,1923.77,2024.949651252584,1311.346268180757,1117.8690475202034,1336.5529779236215,1374.9152979559262,1284.1034912913435,1726.3574790196544,1114.8457113337001,1160.0592731586876,839.9378024199182,1173.979839609445,2017.0160089754477,1966.7714532213752,1456.30442687119,1404.8943569945286,1296.8570050592305,1307.0204059290986,1650.6633698339538,1596.378854987296,1663.880737893744,1702.0462592708361,1533.5462293997707,1518.72814569923,1712.192377470039,1737.2580801204242,1703.3474854117383,1642.1772484859164,1698.1076385158453,1716.8253870627104,1923.9814812464651,1824.3324302563872,1707.7800131611284,1986.9586464232718,1852.1530180159084,1988.182226746931,2088.4369080111114,2123.486239637196,2053.1616087370926,2110.2789312142877
     Belgium,751.0200000000001,606.74,919.1349000000001,1016.8500000000001,390.18000000000006,485.1700000000001,620.05,815.18,999.6400000000001,1479.99,836.97,1539.1899999999998,824.4161488436549,743.4854755507624,834.62631636703,1926.8364992296213,1970.8117941994644,960.744781066383,1698.5388311318084,1800.5120715536357,788.1442218945646,771.9516630417531,850.9889452251513,1137.3737800514236,1007.0844477668131,1299.5286888561495,3363.09672297052,1728.9537088037973,1755.0380588532255,1139.347166849254,673.4602650501337,759.4951110926039,620.745439875263,994.7841229882816,1430.4594006991204,1201.29617771731,1033.0540568462995,957.6617983192855,1077.4211609302163,651.0452453394233,715.6234265653334,662.0181449324393,998.8255044034173,883.3911365238441,780.8798872110907,670.5462931375017,1091.9015079537205,1390.7950332458397,1287.4775953753028,1093.0712157792123,1150.8718943034435,1855.4560120632477,2160.4481553434516,1912.5516770163242,2176.922272978425,1901.1415689058545,3155.8734713390236,1833.866572808653,2057.0982709577183,2208.582777226623,2465.38235766856,2258.276247742836,3044.8071509880037,1297.5727601042088,2658.323547946699,3004.5397662646847,2869.001232632035,2772.867792336905,1140.8770447554725
     Austria,668.8000000000001,567.77,484.43,504.23,625.87,547.2999999999998,699.57,612.6899999999999,683.1999999999999,329.94999999999993,1176.86,1061.05,804.1945962957168,733.44,1505.2972306359081,600.4336893755274,648.8180532474872,443.46298442925837,638.7922655447188,489.5515359477916,415.6086156530377,431.49041987179095,395.39836871506816,714.5938727519483,772.1263765203232,903.5646746117719,773.7251133240995,911.7160847440223,893.8092806558568,842.6151255147877,452.68691826085666,420.6675282028263,715.5972468115326,838.027246977628,717.5887142709475,1141.4953918997433,984.8750242917923,993.4025502555656,978.7736827364905,857.2308749161177,715.4492670686176,768.336151135737,862.4650111288461,688.540255310335,863.8296823957304,700.4485974778876,733.0421203716971,752.3312815765636,1031.1915328646767,972.3940083580276,1016.1513687083549,768.6335505565091,980.9629157214301,1028.5444726513126,1087.5439428408279,1096.2640950507075,938.8159727788428,2154.1144380566293,1027.0462813061647,1032.249654053418,1253.7845409037163,934.245789750787,1299.236092052721,1111.4724475837663,1141.7988541145612,1427.383827546914,1322.6205182289577,1486.9404614963016,1489.5701209277163
     Saudia Arabia,9066.130000000001,6972.920000000001,8033.128,7481.209999999999,12049.350000000002,11599.27,11627.349999999999,10432.039999999999,11054.53,10898.05,10685.73,13061.519999999999,11145.8290343421,9678.97037341712,11666.4710314862,12097.6354589838,15062.774974624801,15170.57506650148,16607.042080456824,16563.1390577613,16611.84,18419.38,19205.1,22777.352542062163,19894.44337670097,19217.543420594047,25638.102264779758,23950.908973909463,26435.709135097342,24438.494761272246,22601.499065598786,26614.935407870795,27115.067576185265,28062.438408853668,26664.627278316788,31626.944943898026,30391.661407909545,24356.24049491662,33937.54357545504,29243.42045451805,35043.86086037091,30960.58494193604,29745.02237208759,32273.096015410785,26878.383665714824,33097.909107549676,31905.17110593936,31963.59809532308,32034.558957615474,30727.060807108242,38595.4038978654,36223.25529273156,35468.087649133675,29178.15167261789,37388.979789520876,32727.64389698315,30011.2554317655,34638.26014625399,30594.966704653525,35537.25550492987,32937.0044623895,28507.972430778478,37224.73025190343,29941.38818916638,33052.07100742412,28066.01103887649,28460.986609666907,16298.53757707175,16845.482265043735
     Qatar,4585.6,3946.3599999999997,5462.67929,7581.46,9734.23,9737.69,9934.600000000002,7526.04,7306.05,6786.329999999999,6349.870000000001,5967.66,5706.912515059925,6094.4090085765965,5530.89739500224,5904.360672569568,6292.384373727188,5333.040330147482,5790.595870723961,7041.9542293316335,6801.89,6969.56,7214.49,6487.56375721099,6006.334956724667,7085.446246058692,7481.496848330722,8074.880818644793,7786.621096354473,7454.807114470831,7854.742148889803,8083.315224954754,6499.368300359261,5455.836294352194,8100.838777685559,7079.870724343601,5388.926009091155,3989.7345337293764,4806.261522435767,4451.514011363121,4160.3177424729765,4626.52462967598,4437.142214810282,3886.319949894615,3100.163711819468,3150.3951514542637,3041.129926664053,3049.443398346184,3819.620597993564,5643.305375408171,6734.538784061221,6347.625359641077,6012.976281344876,7541.148553599333,6626.681156797283,4982.054091914393,5041.033724442118,6238.528980511142,4415.833190121098,5533.2665371686135,5292.4815397087505,6973.861889853683,7135.631359404405,6873.05050512728,6640.004897151259,6580.026790378962,6513.702534977952,5312.896009124026,4993.543753691557
     United Arab Emirates,5870.36,7628.900000000001,6660.606000000001,5480.88,3981.04,7297.67,6066.989999999999,6071.240000000001,7449.220000000001,3728.14,6471.01,6201.2699999999995,3375.780174513313,4534.11368077719,4086.86694671359,3850.3346850665225,4051.2842815837853,3756.639103307068,4819.495697581534,4151.68565302526,3780.08,7153.9,6061.81,7683.854848355204,6476.56816463954,4571.86695430445,6094.009315836158,6037.49712377084,5404.251244540387,5346.65548432929,6262.97630260251,3261.238097725284,5134.405972241599,4106.711291643364,4717.858375654372,4252.9418722924975,3975.159511886562,5369.858408022661,6816.652822792519,6170.338325540986,8029.365244932242,3926.4152790134303,5357.403641359657,4128.249050143525,3580.047241689427,6349.744870841273,5093.14416252572,6819.332034906623,9332.319291210228,10011.549488418643,9163.544471713483,7517.238838834587,12119.756363970146,14788.354986984363,11893.152755816809,13790.501768298227,12850.541595459366,11972.37867870412,13811.184254336811,10306.029110839296,14723.618736069438,13024.610322672483,9452.761088513294,10047.129435732213,10865.245852252145,10875.704413813546,7058.2725820771875,10268.161676283009,10669.463210151416
